rdfs:label,superclass,imicrobe label,mixs label,camera label,bco_dmo_short_name,hot_label,bco_dmo_definition
environmental parameter,,,,,,,
chemical parameter,environmental parameter,,,,,,
biological parameter,environmental parameter,,,,,,
physical environment parameter,environmental parameter,,,,,,
location parameter,,,,,,,
habitat parameter,,,,,,,
bottom depth,environmental parameter,,,,,,
maximum depth,environmental parameter,,,,,,
growth medium,environmental parameter,,,,,,
modification to growth medium,environmental parameter,,,,,,
SKIP?,environmental parameter,,,,,,
soil type,environmental parameter,,,,,,
sigma-t density,environmental parameter,,,,,,
sigma-theta (proportional density),environmental parameter,,,,,,
health status of host,biological parameter,health_status,,health status,,,
heterotrophic bacteria abundance,biological parameter,heterotrophic_bacteria_abundance,,,bact_het_cyt,,
host description,biological parameter,host_description,,HOST_DESCRIPTION,,,
host common name,biological parameter,host_name,host common name,Host Name,,,
host organism,biological parameter,host_organism,,HOST_ORGANISM,,,
host species,biological parameter,host_species,host common name,host species,,,
host taxon identifier,biological parameter,host_taxon_id,host taxid,host taxon ID|HOST_TAXON_ID,,,
host tissue,biological parameter,host_tissue,,host tissue,,,
leg,biological parameter,leg,,leg,,,
phage type,biological parameter,phage_type,,phage type,,,
pico-eukaryote abundance,biological parameter,pico_eukaryote_abundance,,,pico_euks,pico_euks,
prey organism,biological parameter,prey_organism_if_applicable,,,,,
Prochlorococcus abundance,biological parameter,prochlorococcus_abundance,,,coccus_p_cyt,,
Synechococcus abundance,biological parameter,synechococcus_abundance,,abundance/synechococcus  (cells/ml),coccus_s_cyt,,
,biological parameter,abundance_bacterial_cells_ml,organism count,abundance/bacterial  (cells/ml),,,
,biological parameter,abundance_bacterial_cells_ml_h,organism count,abundance/bacterial  (cells/ml/h),,,
,biological parameter,bact_chl_a_ug_l,chlorophyll,,,,
,biological parameter,bacterial_production_cells_ml_h,bacterial production,bacterial production  (cells/ml/h),,,
,biological parameter,bchl_cd_ug_l,chlorophyll,,,,
,biological parameter,bchl_e_ug_l,chlorophyll,,,,
,biological parameter,biofilm_g,biomass,biofilm  (g),,,
,biological parameter,biomass_concentration_ug_kg,biomass,biomass/concentration  (ug/kg),,,
,biological parameter,biomass_mass_g,biomass,biomass/mass  (g),,,
,biological parameter,biomaterial_name,source_mat_id,BIOMATERIAL_NAME,,,
chlorophyll,biological parameter,chlorophyll,,,,,
,biological parameter,chlorophyll_a,,,chl_a,,
,biological parameter,chlorophyll_a,,,chl_a_derived,,
,biological parameter,chlorophyll_b,,,chl_b,,
,biological parameter,chlorophyll_c_total,,,chl_c_tot,,
,biological parameter,chlorophyll_c1_c2,,,chl_c1_c2,,
,biological parameter,chlorophyll_c3,,,chl_c3,,
,biological parameter,chlorophyll_c4,,,chl_c4,,
,biological parameter,chlorophyll_density_annual_ug_kg,chlorophyll,chlorophyll density/annual  (ug/kg),,,
,biological parameter,chlorophyll_density_annual_ug_l,chlorophyll,chlorophyll density/annual  (ug/l),,,
,biological parameter,chlorophyll_density_psu,chlorophyll,chlorophyll density  (psu),,,
,biological parameter,chlorophyll_density_sample_month_ug_kg,chlorophyll,chlorophyll density/sample month  (ug/kg),,,
,biological parameter,chlorophyll_density_ug_kg,chlorophyll,chlorophyll density  (ug/kg),,,
,biological parameter,chlorophyllide_a,,,chlide_a,,
fluorescence,biological parameter,fluorescence_ug_l,,fluorescence  (ug/L),,,
viral_abundance_viruses,biological parameter,viral_abundance_viruses_ml,,viral abundance  (viruses/ml),,,
viral_production_viruses,biological parameter,viral_production_viruses_ml_h,organism count,viral production  (viruses/ml/h),,,
,chemical parameter,19-prime-butanoyloxyfucoxanthin,,,fucox_but,,
,chemical parameter,19-prime-hexanoyloxyfucoxanthin,,,fucox_hex,,
,chemical parameter,alkalinityalk_mm,alkalinity,Alkalinity(ALK)  (mM),,,
aluminium,chemical parameter,aluminiumal_um,,Aluminium(Al)  (uM),,,
ammonia,chemical parameter,ammonianh4_um,,Ammonia(NH4)  (uM),,,
ammonium,chemical parameter,ammonium,,,,,
,chemical parameter,ammonium_umol_kg,ammonium,Ammonium  (umol/kg),,,
antimony,chemical parameter,antimonysb_um,,Antimony(Sb)  (uM),,,
arsenic,chemical parameter,arsenicas_um,,Arsenic(As)  (uM),,,
,chemical parameter,axenic,,,,,
barium,chemical parameter,bariumba_um,,Barium(Ba)  (uM),,,
boron,chemical parameter,boronb_um,,Boron(B)  (uM),,,
caesium,chemical parameter,caesiumcs_um,,Caesium(Cs)  (uM),,,
calcium,chemical parameter,calciumca_um,,Calcium(Ca)  (uM),,,
dissolved carbon dioxide,chemical parameter,carbon_dioxideco2_um,dissolved carbon dioxide,Carbon dioxide(CO2)  (uM),,,
dissolved carbon dioxide,chemical parameter,carbon_dioxideco2_umol_kg,dissolved carbon dioxide,Carbon dioxide(CO2)  (umol/kg),,,
carotene,chemical parameter,carotene,,,carotene,,
alpha carotene,chemical parameter,carotene-alpha,,,carotene_a,,
beta carotene,chemical parameter,carotene-beta,,,carotene_b,,
,chemical parameter,cdom_rfu,,CDOM  (RFU),,,
,chemical parameter,cfu_cjejuni_cfu,,CFU/C.jejuni  (CFU),,,
chlorophyll a,chemical parameter,chla_mg_1000l,chlorophyll,Chla  (mg/1L),,,
chlorine,chemical parameter,chlorinitycl_mm,,Chlorinity(Cl)  (mM),,,
chlorine,chemical parameter,chlorinitycl_um,,Chlorinity(Cl)  (uM),,,
chloropigment,chemical parameter,chloropigment,chlorophyll,Chloropigment,,,
partial pressure carbon dioxide,chemical parameter,co2,,,pCO2,,Partial pressure of carbon dioxide {pCO2} in the water body by computation from pH and alkalinity.
,chemical parameter,d13_total_particulate_carbon,,,del13C_TPC,,
,chemical parameter,d15N_total_particulate_nitrogen,,,del15N_TPN,,
,chemical parameter,diadinoxanthin,,,diadinox,,
,chemical parameter,dissolved_inorg_cdic_mm,dissolved inorganic carbon,Dissolved Inorg C(DIC)  (mM),,,
,chemical parameter,dissolved_inorg_cdic_um,dissolved inorganic carbon,Dissolved Inorg C(DIC)  (uM),,,
,chemical parameter,dissolved_inorganic_carbon,,,DIC,,
,chemical parameter,dissolved_inorganic_carbon_umol_kg,dissolved organic carbon,dissolved inorganic carbon  (umol/kg),,,
,chemical parameter,dissolved_inorganic_nitrogen_umol_l,total inorganic nitrogen,dissolved inorganic nitrogen  (͍mol/l),,,
,chemical parameter,dissolved_inorganic_phosphate_nmol_kg,dissolved inorganic phosphorus,dissolved inorganic phosphate  (nmol/kg),,,
,chemical parameter,dissolved_organic_carbon_um,dissolved organic carbon,dissolved organic carbon  (uM),DOC,,
,chemical parameter,dissolved_organic_carbon_umol_kg,dissolved organic carbon,dissolved organic carbon  (umol/kg),,,
,chemical parameter,dissolved_organic_nitrogen_umol_kg,dissolved organic nitrogen,Dissolved Organic Nitrogen  (͍mol/kg),DON,,
,chemical parameter,dissolved_organic_phosphorus,,,DOP,,
dissolved oxygen,chemical parameter,dissolved_oxygen,dissolved oxygen,,O2,CTDOXY,
,chemical parameter,dissolved_oxygen,,,O2,OXYGEN,
,chemical parameter,dissolved_oxygen_nmol_kg,dissolved oxygen,dissolved oxygen  (nmol/kg),,,
